//hotelName;address;price;rating;AC;freeParking;freeWifi;complementaryBreakfast;review;

Hotel Abkhazia Sokhumi; Sukhumi; Rs 5926; 4.31; AC included; Free parking; Free wifi; No breakfast; Not yet reviewed;
JW Marriott Absheron Baku Hotel; Baku; Rs 3849; 2.8; Non AC; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
AF Hotel; Novkhani; Rs 6283; 4.57; Non AC; Free parking; Free wifi; No breakfast; Not yet reviewed;
Flame Towers; Baku; Rs 5280; 3.84; AC included; Free parking; No wifi; No breakfast; Not yet reviewed;
Full Moon Hotel; Baku; Rs 3740; 2.72; AC included; Free parking; Free wifi; No breakfast; Not yet reviewed;
Shaki Caravanserai; Sheki; Rs 5362; 3.9; Non AC; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Pan Pacific Sonargaon; Dhaka; Rs 5458; 3.97; Non AC; Free parking; Free wifi; No breakfast; Not yet reviewed;
Hotel Agrabad; Chittagong; Rs 5747; 4.18; Non AC; No parking; No wifi; No breakfast; Not yet reviewed;
The Crane; Saint Philip; Rs 6655; 4.84; Non AC; No parking; No wifi; No breakfast; Not yet reviewed;
Fairmont Royal Pavilion; Saint James; Rs 5940; 4.32; Non AC; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Sandy Lane; Holetown; Rs 4730; 3.44; Non AC; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Hotel Astoria; Brussels; Rs 6875; 5.0; Non AC; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Hotel Metropole; Brussels; Rs 3726; 2.71; Non AC; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Chaa Creek; near Benque Viejo; Rs 4015; 2.92; AC included; No parking; Free wifi; No breakfast; Not yet reviewed;
San Ignacio Resort Hotel; San Ignacio Town; Rs 3905; 2.84; AC included; No parking; No wifi; No breakfast; Not yet reviewed;
Benin Marina; Cotonou; Rs 4606; 3.35; Non AC; No parking; Free wifi; No breakfast; Not yet reviewed;
9 Beaches; Sandys Parish; Rs 6668; 4.85; Non AC; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Elbow Beach; Paget Parish; Rs 6242; 4.54; AC included; No parking; No wifi; No breakfast; Not yet reviewed;
The Fairmont Hamilton Princess; Hamilton; Rs 5348; 3.89; Non AC; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Hamilton Hotel (defunct); Hamilton; Rs 5390; 3.92; AC included; No parking; Free wifi; No breakfast; Not yet reviewed;
The Reefs; Southampton; Rs 4303; 3.13; Non AC; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Hotel Jumolhari; Thimphu; Rs 4235; 3.08; AC included; Free parking; No wifi; No breakfast; Not yet reviewed;
Hotel Motithang; Thimphu; Rs 4028; 2.93; AC included; No parking; No wifi; No breakfast; Not yet reviewed;
Hotel Wangchuck; Thimphu; Rs 4400; 3.2; Non AC; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Taj Tashi; Thimphu; Rs 4785; 3.33; Non AC; No parking; No wifi; No breakfast; super bad;
Palacio de Sal; Salar de Uyuni; Rs 4331; 3.15; AC included; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Andaman Club; Thahtay Kyun Island; Rs 5610; 4.08; Non AC; No parking; Free wifi; No breakfast; Not yet reviewed;
Governor's Residence; Yangon; Rs 4963; 3.61; Non AC; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Strand Hotel; Yangon; Rs 4180; 3.04; AC included; Free parking; No wifi; No breakfast; Not yet reviewed;
Grand Hotel d'Angkor; Siem Reap; Rs 3987; 2.9; Non AC; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Hotel Cambodiana; Phnom Penh; Rs 6476; 4.71; AC included; Free parking; Free wifi; No breakfast; Not yet reviewed;
Hotel Le Royal; Phnom Penh; Rs 6696; 4.87; Non AC; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Independence Hotel; Sihanoukville; Rs 5678; 4.13; AC included; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
InterContinental Phnom Penh; Phnom Penh; Rs 5101; 3.71; AC included; No parking; Free wifi; No breakfast; Not yet reviewed;
Phnom Penh Hotel; Phnom Penh; Rs 4675; 3.4; AC included; Free parking; No wifi; No breakfast; Not yet reviewed;
Kempinski Hotel N'Djamena; N'Djamena; Rs 6861; 4.99; AC included; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Agustín Ross Hotel; Pichilemu; Rs 5431; 3.95; AC included; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
ESO Hotel; Paranal Observatory; Rs 3973; 2.89; AC included; No parking; Free wifi; No breakfast; Not yet reviewed;
San Alfonso del Mar Resort; Algarrobo; Rs 3932; 2.86; Non AC; Free parking; No wifi; No breakfast; Not yet reviewed;
Astor House Hotel; Shanghai; Rs 6668; 4.85; AC included; No parking; Free wifi; No breakfast; Not yet reviewed;
Beijing Hotel; Beijing; Rs 4510; 3.28; Non AC; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Broadway Mansions; Shanghai; Rs 4565; 3.32; Non AC; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Centre Hotel (Nanjing); Nanjing; Rs 6311; 4.59; AC included; Free parking; Free wifi; No breakfast; Not yet reviewed;
China Hotel; Guangzhou; Rs 4840; 3.52; AC included; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Diaoyutai State Guesthouse; Beijing; Rs 6503; 4.73; Non AC; No parking; No wifi; Complementary breakfast; Not yet reviewed;
East Asia Hotel; Shanghai; Rs 5747; 4.18; Non AC; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Fairmont Beijing; Beijing; Rs 6228; 4.53; AC included; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
The Garden Hotel; Guangzhou; Rs 6861; 4.99; AC included; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Grand Hyatt Beijing; Beijing; Rs 4840; 3.52; AC included; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Grand Hyatt Shanghai; Shanghai; Rs 5788; 4.21; Non AC; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Hotel Landmark Canton; Guangzhou; Rs 5513; 4.01; Non AC; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Jin Jiang Tower; Shanghai; Rs 5321; 3.87; Non AC; Free parking; No wifi; No breakfast; Not yet reviewed;
Jin Mao Tower; Shanghai; Rs 5005; 3.64; Non AC; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Jinjiang Hotel; Shanghai; Rs 6586; 4.79; AC included; No parking; No wifi; No breakfast; Not yet reviewed;
Jinling Hotel; Nanjing; Rs 5252; 3.82; AC included; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
JW Marriott Shanghai; Shanghai; Rs 6737; 4.9; AC included; No parking; No wifi; No breakfast; Not yet reviewed;
Lhasa Hotel; Lhasa; Rs 4716; 3.43; Non AC; Free parking; No wifi; No breakfast; Not yet reviewed;
Lusongyuan Hotel; Beijing; Rs 6476; 4.71; AC included; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Minzu Hotel; Beijing; Rs 3987; 2.9; Non AC; Free parking; Free wifi; No breakfast; Not yet reviewed;
Morgan Plaza; Beijing; Rs 5032; 3.66; Non AC; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Nanning Marriott; Nanning; Rs 6531; 4.75; Non AC; Free parking; No wifi; No breakfast; Not yet reviewed;
Park Hotel Shanghai; Shanghai; Rs 5087; 3.7; Non AC; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Peace Hotel; Shanghai; Rs 5995; 4.36; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
The PuLi Hotel and Spa; Shanghai; Rs 5046; 3.67; AC included; No parking; Free wifi; No breakfast; Not yet reviewed;
Shimao Wonderland Intercontinental; Songjiang; Rs 5513; 4.01; Non AC; Free parking; Free wifi; No breakfast; Not yet reviewed;
URBN hotels Shanghai; Shanghai; Rs 6214; 4.52; AC included; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
White Swan Hotel; Guangzhou; Rs 6036; 4.39; Non AC; Free parking; Free wifi; No breakfast; Not yet reviewed;
Allegro Papagayo; Guanacaste; Rs 4138; 3.01; Non AC; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Gran Hotel; San José; Rs 5128; 3.73; Non AC; Free parking; No wifi; No breakfast; Not yet reviewed;
Regent Esplanade; Zagreb; Rs 5403; 3.93; AC included; No parking; Free wifi; No breakfast; Not yet reviewed;
El Senador; Cayo Coco; Rs 4537; 3.3; AC included; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Hotel Ambos Mundos; Havana; Rs 6833; 4.97; Non AC; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Hotel Capri; Havana; Rs 4262; 3.1; Non AC; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Hotel Habana Riviera; Havana; Rs 5830; 4.24; Non AC; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Hotel Inglaterra; Havana; Rs 3960; 2.88; Non AC; No parking; No wifi; No breakfast; Not yet reviewed;
Hotel Nacional de Cuba; Havana; Rs 5115; 3.72; AC included; No parking; Free wifi; No breakfast; Not yet reviewed;
Hotel Tryp Habana Libre; Havana; Rs 5692; 4.14; AC included; No parking; No wifi; No breakfast; Not yet reviewed;
Meliá Cohiba Hotel; Havana; Rs 4345; 3.16; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Sevilla Hotel; Havana; Rs 4785; 3.48; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Berštejn Castle; Dubá; Rs 3712; 2.7; AC included; No parking; No wifi; No breakfast; Not yet reviewed;
Four Seasons Hotel; Prague; Rs 4400; 3.2; Non AC; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Grandhotel Pupp; Karlovy Vary; Rs 6380; 4.64; AC included; No parking; Free wifi; No breakfast; Not yet reviewed;
Hilton Prague; Prague; Rs 4138; 3.01; AC included; Free parking; Free wifi; No breakfast; Not yet reviewed;
Hotel Crowne Plaza Prague; Prague; Rs 5541; 4.03; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Hotel InterContinental Prague; Prague; Rs 4606; 3.35; Non AC; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Hotel Paris; Prague; Rs 5596; 4.07; Non AC; Free parking; No wifi; No breakfast; Not yet reviewed;
71 Nyhavn; Copenhagen; Rs 3946; 2.87; AC included; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Bella Center; Copenhagen; Rs 4358; 3.17; Non AC; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Bernstorff Palace; Copenhagen; Rs 4908; 3.57; AC included; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Brøndums Hotel; Skagen; Rs 3822; 2.78; AC included; Free parking; Free wifi; No breakfast; Not yet reviewed;
Copenhagen Admiral Hotel; Copenhagen; Rs 6269; 4.56; Non AC; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
DGI-byen; Copenhagen; Rs 4248; 3.09; AC included; Free parking; No wifi; No breakfast; Not yet reviewed;
Dragsholm Castle; Dragsholm; Rs 4482; 3.26; AC included; Free parking; No wifi; No breakfast; Not yet reviewed;
Dronninglund Hotel; Dronninglund; Rs 6160; 4.48; Non AC; Free parking; Free wifi; No breakfast; Not yet reviewed;
Hotel Bristol; Copenhagen; Rs 4702; 3.42; Non AC; No parking; Free wifi; No breakfast; Not yet reviewed;
Hotel D'Angleterre; Copenhagen; Rs 5940; 4.32; Non AC; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Hvedholm Castle; Faaborg; Rs 3767; 2.74; Non AC; Free parking; Free wifi; No breakfast; Not yet reviewed;
Nimb Hotel; Copenhagen; Rs 6558; 4.77; Non AC; Free parking; Free wifi; No breakfast; Not yet reviewed;
Radisson Blu Royal Hotel; Copenhagen; Rs 6833; 4.97; Non AC; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Radisson SAS HC Andersen Hotel; Odense; Rs 4578; 3.33; AC included; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Ruth's Hotel; Skagen; Rs 6627; 4.82; AC included; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Evergreen Hotel; Roseau; Rs 5747; 4.18; AC included; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Fort Young Hotel; Roseau; Rs 4826; 3.51; Non AC; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Garraway Hotel; Roseau; Rs 5967; 4.34; Non AC; Free parking; No wifi; No breakfast; Not yet reviewed;
Sutton Place Hotel; Roseau; Rs 5115; 3.72; AC included; No parking; Free wifi; No breakfast; Not yet reviewed;
Barceló Bávaro Palace Deluxe; Punta Cana; Rs 4578; 3.33; Non AC; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
EdenH Real Arena Hotel; Punta Cana; Rs 5830; 4.24; Non AC; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Puntacana Resort and Club; Punta Cana; Rs 6462; 4.7; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Iorana Hotel; Ana Magaro; Rs 5060; 3.68; Non AC; No parking; No wifi; No breakfast; Not yet reviewed;
Hotel Plaza Grande; Quito; Rs 5445; 3.96; AC included; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Madre Tierra Resort and Spa; Vilcabamba; Rs 4441; 3.23; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Cairo Marriott Hotel; Cairo; Rs 5101; 3.71; Non AC; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Coralia; Dahab; Rs 5046; 3.67; AC included; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
El-Gouna; Red Sea Riviera; Rs 4262; 3.1; AC included; No parking; Free wifi; No breakfast; Not yet reviewed;
Ghazala Gardens hotel; Sharm el-Sheikh; Rs 4895; 3.56; AC included; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Grand Hyatt Cairo; Cairo; Rs 3863; 2.81; Non AC; Free parking; No wifi; No breakfast; Not yet reviewed;
Hilton Taba; Taba; Rs 4977; 3.62; AC included; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Maritim Jolie Ville Resort; Sharm el-Sheikh; Rs 4936; 3.59; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Old Winter Palace Hotel; Luxor; Rs 6682; 4.86; Non AC; No parking; Free wifi; No breakfast; Not yet reviewed;
Rotana Hotels; Cairo; Rs 6655; 4.84; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
San Stefano Grand Plaza; Alexandria; Rs 4675; 3.4; AC included; No parking; No wifi; No breakfast; Not yet reviewed;
Shepheard's Hotel; Cairo; Rs 5390; 3.92; Non AC; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Sofitel Cairo El Gezirah; Cairo; Rs 4675; 3.4; Non AC; Free parking; Free wifi; No breakfast; Not yet reviewed;
Hilton Princess San Salvador Hotel; San Salvador; Rs 4468; 3.25; Non AC; No parking; Free wifi; No breakfast; Not yet reviewed;
Ammende Villa; Pärnu; Rs 5197; 3.78; Non AC; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Meriton Grand Hotel Tallinn; Tallinn; Rs 5376; 3.91; Non AC; No parking; No wifi; No breakfast; Not yet reviewed;
Radisson Blu Hotel Tallinn; Tallinn; Rs 5857; 4.26; Non AC; Free parking; Free wifi; No breakfast; Not yet reviewed;
Sagadi Manor Hotel; Sagadi; Rs 6586; 4.79; Non AC; No parking; No wifi; No breakfast; Not yet reviewed;
Sokos Hotel Viru; Tallinn; Rs 5390; 3.92; Non AC; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Swissôtel Tallinn; Tallinn; Rs 5871; 4.27; Non AC; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Churchill Hotel; Addis Ababa; Rs 3726; 2.71; AC included; No parking; Free wifi; No breakfast; Not yet reviewed;
Delano Hotel; Bahir Dar; Rs 6503; 4.73; AC included; No parking; Free wifi; No breakfast; Not yet reviewed;
Plaza Hotel; Addis Ababa; Rs 5926; 4.31; Non AC; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Malvina House Hotel; Port Stanley; Rs 4070; 2.96; Non AC; Free parking; Free wifi; Complementary breakfast; Not yet reviewed;
Hotel Føroyar; Tórshavn; Rs 4276; 3.11; AC included; No parking; No wifi; No breakfast; Not yet reviewed;
Grand Pacific Hotel; Suva; Rs 4372; 3.18; AC included; Free parking; Free wifi; No breakfast; Not yet reviewed;
Shangri-La's Fijian Resort; Yanuca; Rs 6105; 4.44; AC included; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Hotel Ilves; Tampere; Rs 5486; 3.99; AC included; No parking; No wifi; No breakfast; Not yet reviewed;
Hotel Kämp; Helsinki; Rs 6283; 4.57; AC included; Free parking; Free wifi; No breakfast; Not yet reviewed;
Hotel Savonia; Kuopio; Rs 6600; 4.8; AC included; No parking; Free wifi; No breakfast; Not yet reviewed;
Hotel Tammer; Tampere; Rs 4702; 3.42; AC included; No parking; Free wifi; No breakfast; Not yet reviewed;
Hotel Torni; Helsinki; Rs 4056; 2.95; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Palace Hotel; Helsinki; Rs 3836; 2.79; AC included; Free parking; No wifi; No breakfast; Not yet reviewed;
Hotel Torni Tampere; Tampere; Rs 3836; 2.79; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Beat Hotel; Paris; Rs 5747; 4.18; AC included; No parking; No wifi; No breakfast; Not yet reviewed;
Carlton Cannes; Cannes; Rs 5073; 3.69; Non AC; No parking; No wifi; No breakfast; Not yet reviewed;
Castille Paris; Paris; Rs 5733; 4.17; AC included; Free parking; Free wifi; No breakfast; Not yet reviewed;
Château de l'Île; Ostwald near Strasbourg; Rs 5128; 3.73; Non AC; Free parking; No wifi; No breakfast; Not yet reviewed;
Grand-Hôtel du Cap-Ferrat; Saint-Jean-Cap-Ferrat; Rs 4812; 3.5; Non AC; Free parking; No wifi; No breakfast; Not yet reviewed;
Grand Hotel Moderne; Lourdes; Rs 6448; 4.69; AC included; Free parking; No wifi; No breakfast; Not yet reviewed;
Hôtel Au Manoir Saint Germain des Prés; Paris; Rs 5238; 3.81; AC included; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Hotel Concorde La Fayette; Paris; Rs 4785; 3.48; Non AC; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
Hôtel Costes; Paris; Rs 5500; 4.0; AC included; No parking; No wifi; Complementary breakfast; Not yet reviewed;
Hôtel de Crillon; Paris; Rs 4743; 3.45; Non AC; Free parking; Free wifi; No breakfast; Not yet reviewed;
Hotel des Trois Colleges; Paris; Rs 5252; 3.82; Non AC; Free parking; No wifi; No breakfast; Not yet reviewed;
Hotel du Cap; Antibes; Rs 5197; 3.78; Non AC; No parking; Free wifi; No breakfast; Not yet reviewed;
Hôtel du Palais; Biarritz; Rs 6806; 4.95; Non AC; Free parking; Free wifi; No breakfast; Not yet reviewed;
Hôtel Fouquet's Barrière; Paris; Rs 5775; 4.2; AC included; No parking; Free wifi; Complementary breakfast; Not yet reviewed;
Hotel George V; Paris; Rs 6297; 4.58; AC included; No parking; Free wifi; No breakfast; Not yet reviewed;
Hotel La Louisiane; Paris; Rs 5252; 3.82; AC included; Free parking; No wifi; Complementary breakfast; Not yet reviewed;
